"C_ID";"G_ID";"JAHR";"B"
"AG";"0008";2010;95038.3615
"AI";"0008";2010;2829.5125
"AR";"0008";2010;3359.7869
"BE";"0008";2010;25064.0278
"BL";"0008";2010;28064.5012
"BS";"0008";2010;6054.1897
"FR";"0008";2010;79683.3208
"GE";"0008";2010;37492.4612
"GL";"0008";2010;1713.2167
"GR";"0008";2010;7422.4687
"JU";"0008";2010;9916.1749
"LU";"0008";2010;98922.2674
"NE";"0008";2010;17933.5083
"NW";"0008";2010;9080.395
"OW";"0008";2010;10377.2826
"SG";"0008";2010;81595.7255999999
"SH";"0008";2010;2719.5769
"SO";"0008";2010;33913.5132
"SZ";"0008";2010;43561.1626
"TG";"0008";2010;21172.2506
"TI";"0008";2010;20804.3285
"UR";"0008";2010;5092.7495
"VD";"0008";2010;45146.8649
"VS";"0008";2010;45272.4784
"ZG";"0008";2010;23143.4533
"ZH";"0008";2010;102631.0424
"AG";"0032";2010;18221
"AI";"0032";2010;10
"AR";"0032";2010;35
"BE";"0032";2010;491
"BL";"0032";2010;354
"BS";"0032";2010;134
"FR";"0032";2010;161
"GE";"0032";2010;276
"GL";"0032";2010;236
"GR";"0032";2010;2932
"JU";"0032";2010;9
"LU";"0032";2010;225
"NE";"0032";2010;34
"NW";"0032";2010;399
"OW";"0032";2010;503
"SG";"0032";2010;339
"SH";"0032";2010;131
"SO";"0032";2010;313
"SZ";"0032";2010;1405
"TG";"0032";2010;690
"TI";"0032";2010;402
"UR";"0032";2010;14
"VD";"0032";2010;554
"VS";"0032";2010;99
"ZG";"0032";2010;223
"ZH";"0032";2010;8526
"AG";"0057";2010;2403.17
"AR";"0057";2010;3
"BE";"0057";2010;805.330000000001
"BL";"0057";2010;1469.88
"BS";"0057";2010;596.4
"FR";"0057";2010;142.26
"GE";"0057";2010;1523.16
"GL";"0057";2010;10
"GR";"0057";2010;32.16
"JU";"0057";2010;9.75140432710021
"LU";"0057";2010;387.84
"NE";"0057";2010;44.9099999999999
"NW";"0057";2010;35.16
"OW";"0057";2010;17.17
"SG";"0057";2010;89.81
"SH";"0057";2010;8
"SO";"0057";2010;2700.1685956729
"SZ";"0057";2010;18.66
"TG";"0057";2010;65.17
"TI";"0057";2010;228.58
"UR";"0057";2010;4
"VD";"0057";2010;2194.82
"VS";"0057";2010;1248
"ZG";"0057";2010;13.92
"ZH";"0057";2010;391.839999999999
"AG";"0062";2010;1203
"AI";"0062";2010;7.16666666666667
"AR";"0062";2010;46.75
"BE";"0062";2010;1862.33333333333
"BL";"0062";2010;533.25
"BS";"0062";2010;250.916666666666
"FR";"0062";2010;932.249999999999
"GE";"0062";2010;3501
"GL";"0062";2010;49.6666666666667
"GR";"0062";2010;228.666666666667
"JU";"0062";2010;152.333333333333
"LU";"0062";2010;161.416666666667
"NE";"0062";2010;2372
"NW";"0062";2010;38.4166666666667
"OW";"0062";2010;36.9166666666667
"SG";"0062";2010;374.75
"SH";"0062";2010;86.6666666666667
"SO";"0062";2010;260.333333333334
"SZ";"0062";2010;130.25
"TG";"0062";2010;182.5
"TI";"0062";2010;10149.25
"UR";"0062";2010;24.3333333333333
"VD";"0062";2010;20112.6666666666
"VS";"0062";2010;2056.25
"ZG";"0062";2010;70.0833333333333
"ZH";"0062";2010;1758.83333333333
"GL";"0134";2010;8
"LU";"0134";2010;30
"NW";"0134";2010;4
"SG";"0134";2010;43
"SZ";"0134";2010;3355
"UR";"0134";2010;3
"ZG";"0134";2010;52
"ZH";"0134";2010;186
"AG";"0182";2010;2386.16666666667
"AI";"0182";2010;31.0833333333333
"AR";"0182";2010;224.5
"BE";"0182";2010;2293.33333333333
"BL";"0182";2010;403.25
"BS";"0182";2010;150.416666666666
"FR";"0182";2010;344.333333333333
"GE";"0182";2010;768.25
"GL";"0182";2010;58.6666666666667
"GR";"0182";2010;224.25
"JU";"0182";2010;18.5
"LU";"0182";2010;342.75
"NE";"0182";2010;180.916666666666
"NW";"0182";2010;55.3333333333334
"OW";"0182";2010;88.9166666666666
"SG";"0182";2010;7168.66666666667
"SH";"0182";2010;1223.16666666667
"SO";"0182";2010;4603.58333333334
"SZ";"0182";2010;323.166666666667
"TG";"0182";2010;3760.83333333333
"TI";"0182";2010;90.0833333333333
"UR";"0182";2010;71.1666666666667
"VD";"0182";2010;470.833333333333
"VS";"0182";2010;94.5
"ZG";"0182";2010;208.833333333333
"ZH";"0182";2010;34545.3333333333
"AG";"0194";2010;558.17
"AI";"0194";2010;5
"AR";"0194";2010;24.92
"BE";"0194";2010;17785
"BL";"0194";2010;289
"BS";"0194";2010;80.17
"FR";"0194";2010;230
"GL";"0194";2010;14
"GR";"0194";2010;89
"LU";"0194";2010;185
"NW";"0194";2010;11
"OW";"0194";2010;17
"SG";"0194";2010;71
"SH";"0194";2010;61
"SO";"0194";2010;680.83
"SZ";"0194";2010;81.27
"TG";"0194";2010;145.26
"UR";"0194";2010;15.5
"VS";"0194";2010;67
"ZG";"0194";2010;66
"ZH";"0194";2010;692
"AG";"0246";2010;707
"BE";"0246";2010;5240
"SO";"0246";2010;519
"ZH";"0246";2010;1247
"AG";"0290";2010;89636.0833333332
"AI";"0290";2010;1435.66666666666
"AR";"0290";2010;1554.33333333333
"BE";"0290";2010;25716.0833333333
"BL";"0290";2010;17030.1666666666
"BS";"0290";2010;6455.24999999999
"FR";"0290";2010;16181.0833333333
"GE";"0290";2010;9257.33333333332
"GL";"0290";2010;3269.49999999999
"GR";"0290";2010;6725.33333333332
"JU";"0290";2010;4717.08333333332
"LU";"0290";2010;92320.4166666665
"NE";"0290";2010;6385.41666666665
"NW";"0290";2010;11675
"OW";"0290";2010;9690.16666666666
"SG";"0290";2010;34849.5833333333
"SH";"0290";2010;4305
"SO";"0290";2010;11678.4166666667
"SZ";"0290";2010;23067.75
"TG";"0290";2010;14363.5833333333
"TI";"0290";2010;15235.8333333333
"UR";"0290";2010;8824.91666666667
"VD";"0290";2010;16693.1666666667
"VS";"0290";2010;9779.33333333333
"ZG";"0290";2010;19701.9166666667
"ZH";"0290";2010;68317.1666666666
"AG";"0294";2010;150
"AI";"0294";2010;1
"AR";"0294";2010;9
"BE";"0294";2010;104
"BL";"0294";2010;243
"BS";"0294";2010;9
"FR";"0294";2010;38
"GL";"0294";2010;2
"GR";"0294";2010;20
"JU";"0294";2010;5
"LU";"0294";2010;3841
"NE";"0294";2010;36
"NW";"0294";2010;66
"OW";"0294";2010;385
"SG";"0294";2010;11
"SH";"0294";2010;1
"SO";"0294";2010;10
"SZ";"0294";2010;27
"TG";"0294";2010;97
"TI";"0294";2010;4
"UR";"0294";2010;27
"VD";"0294";2010;5
"VS";"0294";2010;107
"ZG";"0294";2010;32
"ZH";"0294";2010;105
"AG";"0312";2010;14792.1666666666
"AI";"0312";2010;70.1666666666667
"AR";"0312";2010;634.833333333333
"BE";"0312";2010;16788.5
"BL";"0312";2010;6544.75
"BS";"0312";2010;2036.16666666666
"FR";"0312";2010;4296.08333333333
"GE";"0312";2010;1362.91666666667
"GL";"0312";2010;614.833333333334
"GR";"0312";2010;1475.5
"JU";"0312";2010;696.166666666666
"LU";"0312";2010;6911.83333333334
"NE";"0312";2010;1274.33333333333
"NW";"0312";2010;373.083333333334
"OW";"0312";2010;409.25
"SG";"0312";2010;9719.66666666666
"SH";"0312";2010;1519.08333333333
"SO";"0312";2010;6953.41666666667
"SZ";"0312";2010;2265.75
"TG";"0312";2010;5127.66666666666
"TI";"0312";2010;10085.1666666667
"UR";"0312";2010;1355.75
"VD";"0312";2010;6952.33333333334
"VS";"0312";2010;4364.16666666667
"ZG";"0312";2010;1221.58333333333
"ZH";"0312";2010;41275.6666666666
"AG";"0343";2010;22551.77
"AI";"0343";2010;27.84
"AR";"0343";2010;158.81
"BE";"0343";2010;18455.75
"BL";"0343";2010;7787.83
"BS";"0343";2010;8366.97
"FR";"0343";2010;9399.11
"GE";"0343";2010;17244.13
"GL";"0343";2010;2783.71
"GR";"0343";2010;3017.87
"JU";"0343";2010;331.34
"LU";"0343";2010;6505.44
"NE";"0343";2010;539.4
"NW";"0343";2010;171.17
"OW";"0343";2010;173.1
"SG";"0343";2010;9030.1
"SH";"0343";2010;691.96
"SO";"0343";2010;1070.13
"SZ";"0343";2010;201.31
"TG";"0343";2010;393.75
"TI";"0343";2010;1627.66
"UR";"0343";2010;345.81
"VD";"0343";2010;44463.64
"VS";"0343";2010;2660.34
"ZG";"0343";2010;3035.77
"ZH";"0343";2010;3021.56
"AG";"0360";2010;1382.19
"BE";"0360";2010;1558.71
"LU";"0360";2010;12128.12
"NW";"0360";2010;78.58
"OW";"0360";2010;42.32
"SO";"0360";2010;636.18
"SZ";"0360";2010;62.74
"UR";"0360";2010;15.67
"ZG";"0360";2010;154.25
"ZH";"0360";2010;821.84
"AG";"0376";2010;9582
"AI";"0376";2010;287
"AR";"0376";2010;1739
"BE";"0376";2010;89274
"BL";"0376";2010;9421
"BS";"0376";2010;2919
"FR";"0376";2010;12918
"GE";"0376";2010;12685
"GL";"0376";2010;884
"GR";"0376";2010;7900
"JU";"0376";2010;918
"LU";"0376";2010;9459
"NE";"0376";2010;1104
"NW";"0376";2010;2493
"OW";"0376";2010;298
"SG";"0376";2010;21504
"SH";"0376";2010;1183
"SO";"0376";2010;6934
"SZ";"0376";2010;3041
"TG";"0376";2010;4215
"TI";"0376";2010;29011
"UR";"0376";2010;1502
"VD";"0376";2010;27845
"VS";"0376";2010;9578
"ZG";"0376";2010;1971
"ZH";"0376";2010;36517
"AG";"0455";2010;902.88
"AI";"0455";2010;90
"AR";"0455";2010;475
"BE";"0455";2010;2513.18
"BL";"0455";2010;318.58
"BS";"0455";2010;425.82
"FR";"0455";2010;219.24
"GE";"0455";2010;79.67
"GL";"0455";2010;2235.4
"GR";"0455";2010;80032.73
"JU";"0455";2010;18.44
"LU";"0455";2010;979.97
"NE";"0455";2010;53.98
"NW";"0455";2010;121.65
"OW";"0455";2010;300.49
"SG";"0455";2010;8875.73
"SH";"0455";2010;3853.57
"SO";"0455";2010;198.25
"SZ";"0455";2010;2215.81
"TG";"0455";2010;6986
"TI";"0455";2010;9169.86
"UR";"0455";2010;159.58
"VD";"0455";2010;1424.28
"VS";"0455";2010;1373.58
"ZG";"0455";2010;621.41
"ZH";"0455";2010;25578.06
"AG";"0509";2010;11574.9
"AI";"0509";2010;212.91
"AR";"0509";2010;677.36
"BE";"0509";2010;9951.92
"BL";"0509";2010;23819.31
"BS";"0509";2010;59636.8100000001
"FR";"0509";2010;3546.88
"GE";"0509";2010;813.669999999999
"GL";"0509";2010;391.62
"GR";"0509";2010;762.78
"JU";"0509";2010;303.09
"LU";"0509";2010;10535.33
"NE";"0509";2010;325.21
"NW";"0509";2010;1194.78
"OW";"0509";2010;1041.88
"SG";"0509";2010;6019.05
"SH";"0509";2010;2876.4
"SO";"0509";2010;5608.73
"SZ";"0509";2010;3108.72
"TG";"0509";2010;6288.58
"TI";"0509";2010;427.27
"UR";"0509";2010;1202.49
"VD";"0509";2010;1031.94
"VS";"0509";2010;622.12
"ZG";"0509";2010;5334.72000000001
"ZH";"0509";2010;18507.15
"ZH";"0558";2010;1779.92
"AG";"0762";2010;1245
"AI";"0762";2010;206
"AR";"0762";2010;268
"BE";"0762";2010;3537
"BL";"0762";2010;281
"BS";"0762";2010;402
"FR";"0762";2010;712
"GE";"0762";2010;912
"GL";"0762";2010;507
"GR";"0762";2010;437
"JU";"0762";2010;208
"LU";"0762";2010;1568
"NE";"0762";2010;148
"NW";"0762";2010;896
"OW";"0762";2010;459
"SG";"0762";2010;1709
"SH";"0762";2010;216
"SO";"0762";2010;927
"SZ";"0762";2010;1373
"TG";"0762";2010;705
"TI";"0762";2010;671
"UR";"0762";2010;342
"VD";"0762";2010;1047
"VS";"0762";2010;570
"ZG";"0762";2010;458
"ZH";"0762";2010;4344
"AG";"0774";2010;2384.54
"AI";"0774";2010;19.84
"AR";"0774";2010;98.32
"BE";"0774";2010;11085.9
"BL";"0774";2010;17458.72
"BS";"0774";2010;7070.21
"FR";"0774";2010;10284.19
"GE";"0774";2010;7434.28
"GL";"0774";2010;106.7
"GR";"0774";2010;2212.25
"JU";"0774";2010;5679.72
"LU";"0774";2010;412.33
"NE";"0774";2010;6501.39
"NW";"0774";2010;51.5
"OW";"0774";2010;45.11
"SG";"0774";2010;1033.65
"SH";"0774";2010;618.1
"SO";"0774";2010;832.14
"SZ";"0774";2010;2395.46
"TG";"0774";2010;14679.79
"TI";"0774";2010;11482.38
"UR";"0774";2010;95.84
"VD";"0774";2010;15330.15
"VS";"0774";2010;19646.86
"ZG";"0774";2010;228.1
"ZH";"0774";2010;38046.19
"GL";"0780";2010;5525
"GR";"0780";2010;54
"SG";"0780";2010;137
"SZ";"0780";2010;103
"UR";"0780";2010;7
"GR";"0820";2010;2539.6516
"AG";"0829";2010;922.67
"AR";"0829";2010;2
"BE";"0829";2010;203.65
"BL";"0829";2010;35.25
"BS";"0829";2010;32.84
"FR";"0829";2010;13.15
"GE";"0829";2010;16
"GL";"0829";2010;13
"GR";"0829";2010;16.59
"LU";"0829";2010;2626.15
"NE";"0829";2010;4.67
"NW";"0829";2010;51.83
"OW";"0829";2010;37.91
"SG";"0829";2010;88.43
"SH";"0829";2010;11.67
"SO";"0829";2010;16.58
"SZ";"0829";2010;1388.67
"TG";"0829";2010;38.83
"TI";"0829";2010;91.75
"UR";"0829";2010;26.67
"VD";"0829";2010;24.5
"VS";"0829";2010;22.01
"ZG";"0829";2010;3612.13119
"ZH";"0829";2010;5058.92
"AG";"0881";2010;23936
"AI";"0881";2010;160
"AR";"0881";2010;2752
"BE";"0881";2010;14410
"BL";"0881";2010;5839
"BS";"0881";2010;1253
"FR";"0881";2010;1456
"GE";"0881";2010;2209
"GL";"0881";2010;202
"GR";"0881";2010;4406
"JU";"0881";2010;2279
"LU";"0881";2010;8362
"NE";"0881";2010;438
"NW";"0881";2010;809
"OW";"0881";2010;371
"SG";"0881";2010;9233
"SH";"0881";2010;2515
"SO";"0881";2010;6464
"SZ";"0881";2010;1865
"TG";"0881";2010;5608
"TI";"0881";2010;6417
"UR";"0881";2010;149
"VD";"0881";2010;7855
"VS";"0881";2010;2058
"ZG";"0881";2010;4070
"ZH";"0881";2010;26287
"GR";"0901";2010;2330
"AG";"0923";2010;753
"AI";"0923";2010;8
"AR";"0923";2010;171
"BE";"0923";2010;5759
"BL";"0923";2010;1136
"BS";"0923";2010;284
"FR";"0923";2010;569
"GL";"0923";2010;75
"GR";"0923";2010;342
"LU";"0923";2010;101
"NW";"0923";2010;36
"OW";"0923";2010;30
"SG";"0923";2010;2746
"SH";"0923";2010;167
"SO";"0923";2010;539
"SZ";"0923";2010;94
"TG";"0923";2010;1182
"UR";"0923";2010;25
"VS";"0923";2010;4
"ZG";"0923";2010;102
"ZH";"0923";2010;5262
"BE";"0941";2010;336
"VS";"0941";2010;36846
"AG";"0966";2010;27
"AI";"0966";2010;2
"AR";"0966";2010;11
"BE";"0966";2010;15
"BL";"0966";2010;7
"BS";"0966";2010;6
"FR";"0966";2010;2
"GL";"0966";2010;7
"GR";"0966";2010;6549
"JU";"0966";2010;1
"LU";"0966";2010;26
"SG";"0966";2010;92
"SH";"0966";2010;3
"SO";"0966";2010;8
"SZ";"0966";2010;10
"TG";"0966";2010;19
"TI";"0966";2010;6
"UR";"0966";2010;1
"VD";"0966";2010;2
"VS";"0966";2010;1
"ZG";"0966";2010;10
"ZH";"0966";2010;76
"AG";"0994";2010;44480.6666666667
"AI";"0994";2010;279.916666666667
"AR";"0994";2010;460.666666666667
"BE";"0994";2010;60511.1666666667
"BL";"0994";2010;3325.33333333333
"BS";"0994";2010;1543.25
"FR";"0994";2010;2560.91666666667
"GE";"0994";2010;3979
"GL";"0994";2010;3235.08333333334
"GR";"0994";2010;6144.58333333334
"JU";"0994";2010;245.416666666667
"LU";"0994";2010;9136.33333333333
"NE";"0994";2010;3327.75
"NW";"0994";2010;1721.91666666667
"OW";"0994";2010;2445.25
"SG";"0994";2010;9264.91666666667
"SH";"0994";2010;4476.91666666667
"SO";"0994";2010;1500.41666666667
"SZ";"0994";2010;1058.25
"TG";"0994";2010;11602.8333333333
"TI";"0994";2010;3613.58333333333
"UR";"0994";2010;7371.08333333333
"VD";"0994";2010;15540.9166666667
"VS";"0994";2010;6194.75
"ZG";"0994";2010;2420.41666666667
"ZH";"0994";2010;34735
"VS";"1003";2010;170
"VS";"1040";2010;3898
"AG";"1060";2010;23068.73
"AI";"1060";2010;1066.74
"AR";"1060";2010;1928.2
"BE";"1060";2010;13361.25
"BL";"1060";2010;16696.24
"BS";"1060";2010;1362.32
"FR";"1060";2010;822.58
"GE";"1060";2010;713.83
"GL";"1060";2010;347
"GR";"1060";2010;2550.36
"JU";"1060";2010;259
"LU";"1060";2010;3175.59
"NE";"1060";2010;9334.58
"NW";"1060";2010;2155.83
"OW";"1060";2010;288.41
"SG";"1060";2010;8549.39
"SH";"1060";2010;6315.36
"SO";"1060";2010;4346.5
"SZ";"1060";2010;1004.59
"TG";"1060";2010;8782.09
"TI";"1060";2010;12855.48
"UR";"1060";2010;180.08
"VD";"1060";2010;2620
"VS";"1060";2010;1782.84
"ZG";"1060";2010;1734.1
"ZH";"1060";2010;103910.73
"VS";"1113";2010;7270.58
"AG";"1142";2010;15
"AR";"1142";2010;9
"BE";"1142";2010;16
"BL";"1142";2010;2
"BS";"1142";2010;11
"FR";"1142";2010;86
"GR";"1142";2010;5
"JU";"1142";2010;6
"LU";"1142";2010;60
"SG";"1142";2010;46
"SO";"1142";2010;57
"SZ";"1142";2010;430
"TG";"1142";2010;1
"TI";"1142";2010;51
"UR";"1142";2010;1
"VS";"1142";2010;33
"ZG";"1142";2010;8
"ZH";"1142";2010;18
"ZH";"1147";2010;379
"AG";"1318";2010;77.99
"SZ";"1318";2010;147.98
"ZG";"1318";2010;8.92
"ZH";"1318";2010;4619.38
"AG";"1322";2010;8309
"AG";"1328";2010;96.1
"AI";"1328";2010;1
"AR";"1328";2010;9.75
"BE";"1328";2010;65.83
"BL";"1328";2010;40.75
"BS";"1328";2010;15
"GL";"1328";2010;3.75
"GR";"1328";2010;27.83
"LU";"1328";2010;21.37
"NW";"1328";2010;11.59
"OW";"1328";2010;5
"SG";"1328";2010;95.54
"SH";"1328";2010;43.75
"SO";"1328";2010;22.35
"SZ";"1328";2010;22.56
"TG";"1328";2010;435.38
"UR";"1328";2010;6
"ZG";"1328";2010;19.66
"ZH";"1328";2010;5936.54
"GL";"1331";2010;4
"GR";"1331";2010;9
"SG";"1331";2010;1452
"VS";"1362";2010;841
"AG";"1384";2010;27855.4243509482
"AI";"1384";2010;4726.05488931459
"AR";"1384";2010;16885.8990774334
"BE";"1384";2010;32734.5661694617
"BL";"1384";2010;28076.2576618696
"BS";"1384";2010;16186.4251510499
"FR";"1384";2010;6791.29863979023
"GE";"1384";2010;13204.8611140184
"GL";"1384";2010;3014.59462637067
"GR";"1384";2010;13121.461575518
"JU";"1384";2010;490.062972689782
"LU";"1384";2010;9177.13664440969
"NE";"1384";2010;2361.8450773041
"NW";"1384";2010;823.252559438509
"OW";"1384";2010;658.277369033134
"SG";"1384";2010;122106.223064671
"SH";"1384";2010;9635.53322139517
"SO";"1384";2010;15237.4656591292
"SZ";"1384";2010;9965.98792234354
